drug1;drug2
acetophenazine;cisapride
acetophenazine;dexfenfluramine
acetophenazine;diethylpropion
acetophenazine;fenfluramine
acetophenazine;guanethidine
acetophenazine;mazindol
acetophenazine;phentermine
acetophenazine;phenylpropanolamine
acetophenazine;tacrine
acetophenazine;terfenadine
acetophenazine;tetrabenazine
acetophenazine;trimethobenzamide
acetophenazine;triprolidine
acetophenazine;trospium
fesoterodine;conivaptan
procainamide;amiodarone
procainamide;artemether
procainamide;cimetidine
procainamide;ciprofloxacin
procainamide;cisapride
procainamide;dihydroquinidine_barbiturate
procainamide;donepezil
procainamide;galantamine
procainamide;levofloxacin
procainamide;lumefantrine
procainamide;mesoridazine
procainamide;ofloxacin
procainamide;quinidine
procainamide;quinidine_barbiturate
procainamide;ranitidine
procainamide;ranolazine
procainamide;rivastigmine
procainamide;tacrolimus
procainamide;terbinafine
procainamide;terfenadine
procainamide;thioridazine
procainamide;thiothixene
procainamide;toremifene
procainamide;trimethoprim
procainamide;trimipramine
procainamide;vardenafil
procainamide;voriconazole
procainamide;vorinostat
procainamide;ziprasidone
procainamide;zuclopenthixol
telmisartan;acetylsalicylic_acid
telmisartan;amifostine
telmisartan;amiloride
telmisartan;celecoxib
telmisartan;diclofenac
telmisartan;diflunisal
telmisartan;digoxin
telmisartan;drospirenone
telmisartan;fenoprofen
telmisartan;flurbiprofen
telmisartan;indomethacin
telmisartan;ketoprofen
telmisartan;ketorolac
telmisartan;lithium
telmisartan;lumiracoxib
telmisartan;meclofenamic_acid
telmisartan;meloxicam
telmisartan;nabumetone
telmisartan;naproxen
telmisartan;oxaprozin
telmisartan;piroxicam
telmisartan;potassium
telmisartan;potassium_chloride
telmisartan;rituximab
telmisartan;spironolactone
telmisartan;sulindac
telmisartan;tiaprofenic_acid
telmisartan;tobramycin
telmisartan;tolmetin
telmisartan;trandolapril
telmisartan;treprostinil
telmisartan;triamterene
cinacalcet;erythromycin
cinacalcet;itraconazole
cinacalcet;ketoconazole
cinacalcet;tamoxifen
cinacalcet;tamsulosin
cinacalcet;telithromycin
cinacalcet;tolterodine
cinacalcet;tramadol
cinacalcet;trimipramine
cinacalcet;venlafaxine
cinacalcet;voriconazole
cinacalcet;zuclopenthixol
amiloride;benazepril
amiloride;candesartan
amiloride;captopril
amiloride;cilazapril
amiloride;dihydroquinidine_barbiturate
amiloride;enalapril
amiloride;eplerenone
amiloride;eprosartan
amiloride;forasartan
amiloride;fosinopril
amiloride;irbesartan
amiloride;lisinopril
amiloride;losartan
amiloride;moexipril
amiloride;perindopril
amiloride;polystyrene_sulfonate
amiloride;potassium
amiloride;quinapril
amiloride;quinidine
amiloride;quinidine_barbiturate
amiloride;ramipril
amiloride;saprisartan
amiloride;spirapril
amiloride;tasosartan
amiloride;telmisartan
amiloride;trandolapril
amiloride;treprostinil
amiloride;valsartan
phenelzine;almotriptan
phenelzine;altretamine
phenelzine;amitriptyline
phenelzine;amoxapine
phenelzine;amphetamine
phenelzine;atomoxetine
phenelzine;benzphetamine
phenelzine;bezafibrate
phenelzine;brimonidine
phenelzine;buprenorphine
phenelzine;bupropion
phenelzine;buspirone
phenelzine;citalopram
phenelzine;clomipramine
phenelzine;desipramine
phenelzine;desvenlafaxine
phenelzine;dexfenfluramine
phenelzine;dextroamphetamine
phenelzine;dextromethorphan
phenelzine;diethylpropion
phenelzine;dobutamine
phenelzine;donepezil
phenelzine;dopamine
phenelzine;doxepin
phenelzine;duloxetine
phenelzine;entacapone
phenelzine;ephedra
phenelzine;ephedrine
phenelzine;epinephrine
phenelzine;escitalopram
phenelzine;fenfluramine
phenelzine;fenoterol
phenelzine;fluoxetine
phenelzine;fluvoxamine
phenelzine;galantamine
phenelzine;guanethidine
phenelzine;imipramine
phenelzine;isoproterenol
phenelzine;levodopa
phenelzine;mazindol
